"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","DMDBORN4","DMDYRUSZ","DMDEDUC2","DMDMARTZ","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","WTINTPRP","WTMECPRP","SDMVPSU","SDMVSTRA","INDFMPIR"
"13604",122866,66,2,1,12,NA,5,7,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,7571.429907,8092.731657,2,166,1.92
"13605",122867,66,2,2,22,NA,1,1,1,1,NA,4,3,2,1,2,2,1,2,2,1,2,2,1,16543.043836,17529.970644,2,152,3.98
"13606",122868,66,1,1,5,NA,2,2,NA,1,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,11447.953136,0,1,149,NA
"13607",122869,66,2,2,14,NA,2,2,2,1,NA,NA,NA,NA,2,1,2,1,2,2,1,2,2,1,10314.207005,10858.825366,1,149,0.75
"13608",122870,66,2,2,32,NA,1,1,1,2,2,2,1,1,2,2,1,2,2,1,NA,NA,NA,NA,17928.943643,19894.374031,1,162,0.49
"13609",122871,66,2,2,52,NA,3,3,1,1,NA,4,2,NA,1,2,2,NA,NA,NA,1,2,2,1,85237.496475,86422.795027,1,161,NA
"13610",122872,66,2,1,10,NA,5,7,2,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,NA,5767.063742,6066.187735,2,158,1.7
"13611",122873,66,2,2,1,20,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,13391.029722,15457.970118,2,162,3.4
"13612",122874,66,2,2,35,NA,3,3,2,1,NA,5,1,2,1,2,2,1,2,2,1,2,2,1,51349.561015,52434.128903,2,159,2.39
"13613",122875,66,2,2,2,NA,1,1,1,1,NA,NA,NA,NA,1,1,2,2,2,2,NA,NA,NA,NA,6059.027523,6832.657157,2,152,0.96
"13614",122876,66,2,2,61,NA,4,4,2,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,1,15060.074436,15650.778404,1,172,2.45
"13615",122877,66,2,2,14,NA,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,1,2,2,1,7670.416467,8465.604507,1,162,1.05
"13616",122878,66,2,1,65,NA,4,4,1,1,NA,3,2,NA,1,2,2,1,2,2,1,2,2,1,4167.512695,4453.99209,2,170,0.7
"13617",122879,66,1,2,0,4,3,3,NA,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,2541.590642,0,1,167,1.41
"13618",122880,66,1,2,59,NA,3,3,NA,1,NA,4,1,NA,1,2,2,1,2,2,NA,NA,NA,NA,21931.386259,0,2,151,3.6
"13619",122881,66,2,2,56,NA,5,6,1,2,3,3,1,NA,1,2,1,1,2,1,1,2,2,1,8795.968816,9679.068119,2,152,1.42
"13620",122882,66,1,2,9,NA,3,3,NA,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,12742.604342,0,2,158,0.41
"13621",122883,66,2,2,44,NA,1,1,1,2,3,1,1,2,2,2,2,2,2,2,1,2,2,2,11618.871366,11605.734116,2,161,1.36
"13622",122884,66,2,1,16,NA,4,4,2,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,6208.739873,6662.006197,1,149,0.92
"13623",122885,66,2,1,22,NA,3,3,2,1,NA,4,2,NA,1,2,2,1,2,2,1,2,2,1,22327.641361,26970.306126,2,164,1.69
"13624",122886,66,2,1,31,NA,4,4,2,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,7079.144235,7644.172678,1,167,2.89
"13625",122887,66,1,2,11,NA,5,6,NA,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,6525.792257,0,3,156,3.98
"13626",122888,66,2,1,53,NA,5,7,2,1,NA,3,2,NA,1,2,2,1,2,2,NA,NA,NA,NA,21858.572797,21369.206478,1,155,0.25
"13627",122889,66,2,2,53,NA,5,6,2,2,3,3,1,NA,1,2,1,1,2,1,1,2,1,NA,8095.573318,9188.09719,2,169,NA
